date,state,state_name,positive,probable_cases,negative,total_test_results,hospitalized_currently,hospitalized_cumulative,in_icu_currently,in_icu_cumulative,recovered,last_update_et,death,death_confirmed,death_probable,positive_increase,total_test_results_increase,death_increase,hospitalized_increase
2021-03-07,AK,Alaska,56886.0,,,1731628.0,33.0,1293.0,,,,2021-03-05 03:59:00,305.0,,,0,0,0,0
2021-03-07,AL,Alabama,499819.0,107742.0,1931711.0,2323788.0,494.0,45976.0,,2676.0,295690.0,2021-03-07 11:00:00,10148.0,7963.0,2185.0,408,2347,-1,0
2021-03-07,AR,Arkansas,324818.0,69092.0,2480716.0,2736442.0,335.0,14926.0,141.0,,315517.0,2021-03-07 00:00:00,5319.0,4308.0,1011.0,165,3380,22,11
2021-03-07,AS,,0.0,,2140.0,2140.0,,,,,,2020-12-01 00:00:00,0.0,,,0,0,0,0
2021-03-07,AZ,Arizona,826454.0,56519.0,3073010.0,7908105.0,963.0,57907.0,273.0,,,2021-03-07 00:00:00,16328.0,14403.0,1925.0,1335,45110,5,44
2021-03-07,CA,California,3501394.0,,,49646014.0,4291.0,,1159.0,,,2021-03-07 02:59:00,54124.0,,,3816,133186,258,0
2021-03-07,CO,Colorado,436602.0,24786.0,2199458.0,6415123.0,326.0,23904.0,,,,2021-03-07 01:59:00,5989.0,5251.0,735.0,840,38163,3,18
2021-03-07,CT,Connecticut,285330.0,19621.0,,6520366.0,428.0,,,,,2021-03-04 23:59:00,7704.0,6327.0,1377.0,0,0,0,0
2021-03-07,DC,District of Columbia,41419.0,,,1261363.0,150.0,,38.0,,29570.0,2021-03-06 00:00:00,1030.0,,,146,5726,0,0
2021-03-07,DE,Delaware,88354.0,4733.0,545070.0,1431942.0,104.0,,13.0,,,2021-03-06 18:00:00,1473.0,1337.0,136.0,215,5867,9,0
2021-03-07,FL,Florida,1909209.0,360372.0,9339038.0,22339182.0,3307.0,82237.0,,,,2021-03-06 23:59:00,32266.0,,,4024,64599,66,92
2021-03-07,GA,Georgia,1023487.0,195151.0,,7359069.0,2008.0,56797.0,,9263.0,,2021-03-07 14:50:00,17906.0,15598.0,2308.0,1709,18827,1,35
2021-03-07,GU,,7749.0,209.0,112887.0,120636.0,2.0,,1.0,,7590.0,2021-03-07 01:45:00,133.0,,,0,0,0,0
2021-03-07,HI,Hawaii,28699.0,808.0,,1146796.0,27.0,2226.0,5.0,,,2021-03-05 14:30:00,445.0,445.0,,53,5117,1,0
2021-03-07,IA,Iowa,282384.0,,1044418.0,1326802.0,167.0,,35.0,,320054.0,2021-03-07 00:00:00,5558.0,,,257,1556,6,0
2021-03-07,ID,Idaho,172931.0,33057.0,505964.0,645838.0,150.0,7184.0,33.0,1245.0,96017.0,2021-03-06 19:00:00,1879.0,1652.0,227.0,104,396,3,5
2021-03-07,IL,Illinois,1198335.0,,,18640190.0,1141.0,,255.0,,,2021-03-07 00:00:00,23014.0,20763.0,2251.0,1068,68094,12,0
2021-03-07,IN,Indiana,667262.0,,2483156.0,8242367.0,656.0,43217.0,104.0,7600.0,,2021-03-06 23:59:00,12737.0,12310.0,427.0,746,29427,11,64
2021-03-07,KS,Kansas,295861.0,,974686.0,1270547.0,235.0,9387.0,50.0,2554.0,,2021-03-05 10:00:00,4812.0,,,0,0,0,0
2021-03-07,KY,Kentucky,410709.0,96324.0,,3975672.0,558.0,19457.0,156.0,4034.0,48145.0,2021-03-07 00:00:00,4819.0,4369.0,450.0,525,0,13,6
2021-03-07,LA,Louisiana,433785.0,61271.0,5261679.0,5695464.0,532.0,,,,415954.0,2021-03-07 13:00:00,9748.0,9033.0,715.0,740,21318,32,0
2021-03-07,MA,Massachusetts,591356.0,32273.0,4404792.0,16825551.0,665.0,19713.0,174.0,,508745.0,2021-03-06 23:59:00,16417.0,16085.0,332.0,1425,96578,43,0
2021-03-07,MD,Maryland,387319.0,,3034546.0,8097590.0,818.0,35651.0,215.0,,9703.0,2021-03-07 10:00:00,7955.0,7773.0,182.0,709,33128,14,79
2021-03-07,ME,Maine,45794.0,9948.0,,1660180.0,67.0,1570.0,16.0,,12840.0,2021-03-06 23:59:00,706.0,683.0,23.0,159,7490,2,4
2021-03-07,MI,Michigan,656072.0,60018.0,,10621967.0,866.0,,222.0,,549881.0,2021-03-06 00:00:00,16658.0,15666.0,992.0,0,0,0,0
2021-03-07,MN,Minnesota,490011.0,24464.0,3058514.0,7111428.0,224.0,25978.0,57.0,5364.0,476055.0,2021-03-06 17:00:00,6550.0,6276.0,274.0,895,25369,4,2
2021-03-07,MO,Missouri,480643.0,,1878583.0,4565866.0,955.0,,197.0,,,2021-03-07 00:59:00,8161.0,,,291,10659,0,0
2021-03-07,MP,Northern Mariana Islands,145.0,,17429.0,17574.0,,4.0,,,29.0,2021-03-08 00:00:00,2.0,2.0,,1,1,0,0
2021-03-07,MS,Mississippi,297581.0,113303.0,1459374.0,1756955.0,419.0,9162.0,89.0,,278162.0,2021-03-06 00:00:00,6808.0,4737.0,2071.0,260,260,3,0
2021-03-07,MT,Montana,100914.0,5524.0,,1104488.0,63.0,4630.0,12.0,,97943.0,2021-03-07 01:59:00,1381.0,,,72,3132,0,1
2021-03-07,NC,North Carolina,872176.0,112559.0,,9688838.0,1179.0,,309.0,,,2021-03-06 11:35:00,11502.0,10169.0,1333.0,0,0,0,0
2021-03-07,ND,North Dakota,100391.0,5463.0,305912.0,1425146.0,23.0,3880.0,3.0,567.0,98326.0,2021-03-07 01:59:00,1478.0,,,34,679,0,2
2021-03-07,NE,Nebraska,203026.0,,771128.0,2421684.0,137.0,6237.0,,,157144.0,2021-03-07 11:15:00,2113.0,,,373,1,0,8
2021-03-07,NH,New Hampshire,76861.0,22797.0,579582.0,1497185.0,68.0,1131.0,,348.0,73615.0,2021-03-07 09:00:00,1184.0,,,166,15697,3,4
2021-03-07,NJ,New Jersey,812609.0,91670.0,10186941.0,10999550.0,1792.0,64396.0,376.0,,,2021-03-07 00:00:00,23574.0,21177.0,2397.0,2519,2519,17,58
2021-03-07,NM,New Mexico,186922.0,,,2783542.0,169.0,13252.0,,,156554.0,2021-03-07 17:37:00,3808.0,,,180,11702,12,10
2021-03-07,NV,Nevada,296190.0,,1131758.0,2770192.0,399.0,,87.0,,,2021-03-06 00:00:00,5037.0,,,730,6201,1,0
2021-03-07,NY,New York,1681169.0,,,39695100.0,4789.0,,999.0,,,2021-03-06 14:00:00,39029.0,,,6789,227768,59,0
2021-03-07,OH,Ohio,978471.0,142113.0,,10257157.0,820.0,50881.0,260.0,7207.0,925655.0,2021-03-07 14:00:00,17656.0,14752.0,2594.0,735,29289,0,33
2021-03-07,OK,Oklahoma,428997.0,,3146300.0,3575297.0,346.0,24332.0,100.0,,412177.0,,4534.0,,,461,461,0,55
2021-03-07,OR,Oregon,157079.0,,,3850973.0,158.0,8714.0,32.0,,,2021-03-06 03:01:00,2296.0,,,195,0,3,0
2021-03-07,PA,Pennsylvania,948643.0,134103.0,3942124.0,10681716.0,1587.0,,314.0,,861756.0,2021-03-07 12:00:00,24349.0,,,1658,52432,32,0
2021-03-07,PR,Puerto Rico,101632.0,8012.0,305972.0,407604.0,134.0,,21.0,,91987.0,2021-03-07 00:00:00,2062.0,1752.0,310.0,305,305,3,0
2021-03-07,RI,Rhode Island,128781.0,,677570.0,3123348.0,141.0,9020.0,25.0,,,2021-03-08 16:31:00,2547.0,,,265,13513,0,0
2021-03-07,SC,South Carolina,525865.0,75888.0,4657179.0,5183044.0,579.0,20725.0,137.0,,218863.0,2021-03-05 23:59:00,8754.0,7744.0,1010.0,1408,27264,35,66
2021-03-07,SD,South Dakota,113589.0,12899.0,314540.0,701924.0,72.0,6705.0,9.0,,109531.0,2021-03-06 14:00:00,1900.0,,,211,1275,2,13
