state_name_web,state_abbreviation,population,land_area_square_miles,population_density
Alabama,AL,5024279,50744,99.0
Alaska,AK,733391,571951,1.3
Arizona,AZ,7151502,113635,62.9
Arkansas,AR,3011524,52068,57.8
California,CA,39538223,155959,253.5
Colorado,CO,5773714,103718,55.7
Connecticut,CT,3605944,4845,744.3
Delaware,DE,989948,1954,506.6
Florida,FL,21538187,53927,399.4
Georgia,GA,10711908,57906,185.0
Hawaii,HI,1455271,6423,226.6
Idaho,ID,1839106,82747,22.2
Illinois,IL,12812508,55584,230.5
Indiana,IN,6785528,35867,189.2
Iowa,IA,3190369,55869,57.1
Kansas,KS,2937880,81815,35.9
Kentucky,KY,4505836,39728,113.4
Louisiana,LA,4657757,43562,106.9
Maine,ME,1362359,30862,44.1
Maryland,MD,6177224,9774,632.0
Massachusetts,MA,7029917,7840,896.7
Michigan,MI,10077331,56804,177.4
Minnesota,MN,5706494,79610,71.7
Mississippi,MS,2961279,46907,63.1
Missouri,MO,6154913,68886,89.3
Montana,MT,1084225,145552,7.4
Nebraska,NE,1961504,76872,25.5
Nevada,NV,3104614,109826,28.3
New Hampshire,NH,1377529,8968,153.6
New Jersey,NJ,9288994,7417,1252.4
New Mexico,NM,2117522,121356,17.4
New York,NY,20201249,47214,427.9
North Carolina,NC,10439388,48711,214.3
North Dakota,ND,779094,68976,11.3
Ohio,OH,11799448,40948,288.2
Oklahoma,OK,3959353,68667,57.7
Oregon,OR,4237256,95997,44.1
Pennsylvania,PA,13002700,44817,290.1
Rhode Island,RI,1097379,1045,1050.1
South Carolina,SC,5118425,30110,170.0
South Dakota,SD,886667,75885,11.7
Tennessee,TN,6910840,41217,167.7
Texas,TX,29145505,261797,111.3
Utah,UT,3271616,82144,39.8
Vermont,VT,643077,9250,69.5
Virginia,VA,8631393,39594,218.0
Washington,WA,7705281,66544,115.8
West Virginia,WV,1793716,24078,74.5
Wisconsin,WI,5893718,54310,108.5
Wyoming,WY,576851,97100,5.9
